longitude,latitude,polygon_group,name_long
180,-16.067132663642447,1-1-1,Fiji
180,-16.555216566639196,1-1-1,Fiji
179.36414266196414,-16.801354076946883,1-1-1,Fiji
178.72505936299711,-17.01204167436804,1-1-1,Fiji
178.59683859511713,-16.639150000000004,1-1-1,Fiji
179.0966093629971,-16.433984277547403,1-1-1,Fiji
179.4135093629971,-16.379054277547404,1-1-1,Fiji
180,-16.067132663642447,1-1-1,Fiji
178.12557,-17.50481,1-2-1,Fiji
178.3736,-17.33992,1-2-1,Fiji
178.71806,-17.62846,1-2-1,Fiji
178.55271,-18.15059,1-2-1,Fiji
177.93266000000003,-18.28799,1-2-1,Fiji
177.38146,-18.16432,1-2-1,Fiji
177.28504,-17.72465,1-2-1,Fiji
177.67087,-17.381140000000002,1-2-1,Fiji
178.12557,-17.50481,1-2-1,Fiji
-179.79332010904864,-16.020882256741224,1-3-1,Fiji
-179.9173693847653,-16.501783135649397,1-3-1,Fiji
-180,-16.555216566639196,1-3-1,Fiji
-180,-16.067132663642447,1-3-1,Fiji
-179.79332010904864,-16.020882256741224,1-3-1,Fiji
33.90371119710453,-0.9500000000000001,2-1-1,Tanzania
34.07261999999997,-1.0598199999999451,2-1-1,Tanzania
37.69868999999994,-3.0969899999999484,2-1-1,Tanzania
37.7669,-3.6771200000000004,2-1-1,Tanzania
39.20222,-4.67677,2-1-1,Tanzania
38.74053999999995,-5.9089499999999475,2-1-1,Tanzania
38.79977000000008,-6.475660000000005,2-1-1,Tanzania
39.44,-6.839999999999861,2-1-1,Tanzania
39.47000000000014,-7.099999999999966,2-1-1,Tanzania
39.19468999999998,-7.703899999999976,2-1-1,Tanzania
39.25203000000005,-8.00780999999995,2-1-1,Tanzania
39.18652000000009,-8.48550999999992,2-1-1,Tanzania
39.53574000000009,-9.112369999999885,2-1-1,Tanzania
39.94960000000003,-10.098400000000026,2-1-1,Tanzania
40.316586229110854,-10.317097752817492,2-1-1,Tanzania
40.31659000000002,-10.317099999999868,2-1-1,Tanzania
39.52099999999996,-10.89688000000001,2-1-1,Tanzania
38.42755659358775,-11.285202325081656,2-1-1,Tanzania
37.827639999999974,-11.26878999999991,2-1-1,Tanzania
37.471289999999954,-11.568759999999997,2-1-1,Tanzania
